station_name,gage_id,lat,lon,upstream_gage_mainline,upstream_gage_trib,upstream_gage
"LONG LAKE CR BELOW LONG LAKE NR MOFFIT, ND",06349275,46.69165615,-100.2865012,,,
"LONG LAKE CREEK AT HWY 83 BRIDGE NR MOFFIT, ND",06349280,46.69916667,-100.2908333,,,
"LYON C NR JUNCTION CITY, KS",06878600,38.94916667,-96.8580556,,,
Lake Creek near Power MT,06090650,47.70790556,-111.40915,,,
Lamar River nr Tower Ranger Station YNP,06188000,44.92817778,-110.3942694,,06187950,06187950
"Lamine River near Otterville, MO",06906800,38.70225,-92.9788333,,,
"Lindley Creek near Polk, MO",06921200,37.7504722,-93.2661944,,,
Little Bighorn River at State Line nr Wyola MT,06289000,45.0071111,-107.6154083,,,
Little Bighorn River near Hardin MT,06294000,45.7356861,-107.5574694,06289000,06290000,06289000
Little Blue R. at Lees Summit Rd in Independence,06893820,39.0173611,-94.3872778,,,
"Little Blue River at County Line nr Deshler, Nebr.",06883530,40.21502778,-97.8206222,,,
"Little Blue River at Grandview, MO",06893750,38.8683333,-94.5208333,,,
"Little Blue River at Hollenberg, KS",06884025,39.98033333,-97.005125,,,
"Little Blue River near Deweese, Nebr.",06883000,40.3325,-98.0669444,,,
"Little Blue River near Fairbury, Nebr.",06884000,40.14649167,-97.19959444,,,
"Little Blue River near Lake City, MO",06894000,39.1005609,-94.3005038,06893820,06893970,06893820
"Little East Locust Creek near Browning, MO",06901250,40.06557598,-93.1404847,,,
"Little Nemaha River at Auburn, Nebr.",06811500,40.39262222,-95.81408333,,,
"Little Niangua River near Macks Creek, MO",06925250,37.9347222,-93.0669444,,,
"Little Osage River at Horton, MO",06917060,37.99480556,-94.3693056,06917000,06917000,06917000
"Little Papillion Cr at Ak-Sar-Ben at Omaha, Nebr.",06610765,41.24496944,-96.02013889,411337096004501,06610742,411337096004501
"Little Papillion Cr at Dodge St at Omaha, Nebr.",411535096020301,41.2597222,-96.0341667,411613096022601,06610742,411613096022601
"Little Papillion Cr at Grover St at Omaha, Nebr.",411337096004501,41.22694444,-96.0125,411613096022601,06610742,411613096022601
"Little Papillion Cr at Western Ave at Omaha, Nebr.",411613096022601,41.27027778,-96.0405556,06610750,06610742,06610750
"Little Papillion Creek at Irvington, Nebr.",06610750,41.31077222,-96.0475,,06610742,06610742
"Little Piney Creek at Newburg, MO",06932000,37.90952778,-91.9033333,,,
"Little Platte River at Smithville, MO",06821150,39.38805536,-94.5791215,06821080,06821080,06821080
"Little Platte River near Plattsburg, MO",06821080,39.56777778,-94.407,,,
Little Prickly Pear Cr at Wolf Cr MT,06071300,47.0054361,-112.070311,,,
"Little Sac River near Morrisville, MO",06918740,37.4828611,-93.4856389,,06918493,06918493
